record_id,origin,title,date_local,time_local,timezone,venue,neighborhood,borough,host,official_url,registration_url,source_calendars,format,net_signal,icp_score,icp_fit_rationale,confirmed_people_orgs,target_audience,price_currency,access_requirements,observed_registration_status,observation_time,rank_score,rank_tier,remaining_uncertainty,slug,official_desc_snippet,networking_evidence,evidence_level,desc_has_commercial,priority_rank
ECO-tbo854x6,ecosystem-luma,NY Tech Meetup - Climate Tech Edition,2026-09-21,17:00–21:30,America/New_York,"Civic Hall, 124 E 14th St, Union Square",,,NY Tech Alliance; Campus Deep Tech; Columbia,,https://luma.com/tbo854x6,Luma public search (query: climate tech),founders/vc/pitch,medium,9,founder/VC pitch + networking reception,"Panelists: Vanessa Chan (Penn Engineering); Gernot Wagner (Columbia Business School); Anastasia O'Rourke (Carbon Containment Lab / Yale). Judges: Priyanka Bakaya (ARPA-E); Rachel Slaybaugh (DCVC); Noah Sumait (Energy Impact Partners). Hosts: NY Tech Alliance, Campus Deep Tech, Columbia Lenfest Center, Columbia Climate Fund. 6 startup pitches + reception.",Not stated (unverified),USD 20.00 (listed paid ticket; check ticket-specific conditions),Registration available subject to listed capacity/status; eligibility not independently established.,Registration open (Luma primary page),2026-09-10T22:13:01.474475+00:00,10,Strong-qualified,Registration status/eligibility not fully verified. Also on official directory (row CW-0070) but not auto-qualified by the theme/format filter; retained on ecosystem evidence.,tbo854x6,"Join us for the September edition of the NY Tech Meetup, where we’re partnering with Campus Deep Tech.
This NY Tech Meetup includes a few special elements including an expert panel on resilience and the future of climate tech and one of the largest startup pitch competitions during Climate Week NYC.
See the investors that will be in the room listed below!
Each competing startup demoer is developing moonshot innovations originating in university research labs that will help address pressing resilience challenges across:
Climate & Natural Disasters
Energy, Water, Telecom, and AI Infrastructure
I",meetup,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,1
ECO-l93409yl,ecosystem-luma,Climatetech Startup Showcase,2026-09-22,13:00–15:30,America/New_York,"The Biome (SOSV), 7 Penn Plaza",Midtown,,Greentown Labs,,https://luma.com/l93409yl,SOSV hub (sosv.com/join-sosv-at-climate-week-nyc-2026),Pitch / showcase,strong,7,Pitch / showcase,,Not stated (unverified),Free (listed ticket),Registration available subject to listed capacity/status; eligibility not independently established.,Waitlist (Luma primary page),2026-09-10T22:13:01.474475+00:00,9,Strong-qualified,Registration status/eligibility not fully verified.,l93409yl,"Greentown is home to 300+ climate, energy, and industrial startups innovating for a better world. These startups, working across key verticals like energy and power, manufacturing and processing, transportation and logistics, infrastructure and construction, and food, water, and land, are developing the technologies that will pave the way to a low-carbon, abundant, and resilient economy. Now, it's your turn to meet them!Join us for a pitch and showcase event bringing together founders, investors, corporate leaders, policymakers, philanthropists, and beyond at New York Climate Week. Our founder",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,2
ECO-72nytunj,ecosystem-luma,What's Next in Deep Tech? (Honda Xcelerator Ventures x SOSV),2026-09-22,18:00–20:00,America/New_York,"The Biome (SOSV), 7 Penn Plaza",Midtown,,Honda Xcelerator Ventures & SOSV,,https://luma.com/72nytunj,SOSV hub (sosv.com/join-sosv-at-climate-week-nyc-2026),Fireside + networking,medium,8,deep-tech venture fireside + networking,SOSV founder Sean O'Sullivan (fireside).,Not stated (unverified),Free (listed ticket),Registration available subject to listed capacity/status; eligibility not independently established.,Registration open (Luma primary page),2026-09-10T22:13:01.474475+00:00,9,Strong-qualified,Registration status/eligibility not fully verified.,72nytunj,"As Climate Week NYC brings together the people and ideas shaping the future of climate innovation, join Honda Xcelerator Ventures and SOSV for a fireside chat with SOSV founder Sean O’Sullivan.
Sean will reflect on SOSV’s journey, lessons learned along the way, and how its approach to backing emerging technologies has evolved.
Looking ahead, Sean will share his perspective on climate and deep tech, the opportunities he sees emerging, and the technologies and ideas he believes are worth betting on next.
The conversation will be moderated by Hyundo Kwon, Principal - Honda Xcelerator Ventures.",fireside,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,3
ECO-climate-capital-2026,ecosystem-luma,2026 Climate Capital Summit,2026-09-24,09:00–18:00,America/New_York,Financial District (obfuscated),,,Equal Ventures,,https://luma.com/climate-capital-2026,Luma public search (query: climate investor),investor summit,strong,7,investor summit,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,9,Strong-qualified,Registration status/eligibility not fully verified. Also on official directory (row CW-0591) but not auto-qualified by the theme/format filter; retained on ecosystem evidence.,climate-capital-2026,"Climate is entering a new era.
We’re at a critical moment in climate—one defined by urgency and a tougher set of questions: What’s actually working? Where is capital flowing? And how do we scale solutions in a durable and equitable way?
What to bring
A government-issued ID for check-in
Plan your day
Check-in begins at 9:00 AM. Programming will start at 9:30 AM.
Please arrive early to secure your seat for the sessions you care about most.
Coffee, refreshments, and light bites provided throughout the day.
Join us for the 4th Annual Climate Capital Summit during Climate Week NYC.
This invite-only",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),no,4
ECO-2150-nth0,ecosystem-luma,NYCW Innovation Showcase & Rooftop Breakfast,2026-09-22,08:30–12:00,America/New_York,Hudson Square (obfuscated),,,2150; Extantia,,https://luma.com/2150-nth0,Luma public search (query: climate investor),showcase/breakfast,strong,7,showcase/breakfast,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,9,Strong-qualified,Registration status/eligibility not fully verified.,2150-nth0,"Start your morning with a view and a front-row seat to the future of climate tech.
Join 2150, Azolla Ventures, Blue Bear Capital, Extantia, KOMPAS VC, The Clean Fight, and HSBC Innovation Banking for a morning celebrating NYCW’s climate-tech community.
When: Tuesday, September 22nd
Who: 300 investors and founders tackling the planet’s biggest sustainability challenges
Where: Lower Manhattan
We’re bringing together standout portfolio companies and a select group of climate-focused investors for a fast-paced morning of connection and discovery.
The morning will spotlight companies from each fund",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,5
ECO-l99e5v88,ecosystem-luma,"Climate Tech Demo Series - Collab Fund, Streetlife Ventures",2026-09-21,09:00–11:30,America/New_York,New York (obfuscated),,,Collaborative Fund; Streetlife Ventures,,https://luma.com/l99e5v88,Luma public search (query: climate tech),demo/venture,strong,4,founder/investor demo series (Collab Fund & Streetlife Ventures),,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,6,Qualified,Registration status/eligibility not fully verified.,l99e5v88,"Come see the freshest Climate Tech demos.
This NY Climate Week edition of the quarterly Climate Tech Demo Series will feature climate tech startups solving tough urban issues with the most advanced technology. Six startups will do live demos of their technology and share how they build from high performance computing to material science, hardware, and other innovations.
This is not a pitch night, but a chance to go deeper into the tech of climate solutions that can make tangible differences to the livability of our cities and planet. Demos will start at 9:30am:
🔋 Every Electric - Base Power bu",demo,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,6
CW-0408,official-838,SOSV's HAX Deep Tech Showcase (Investors Only),2026-09-23,06:00pm-08:00pm,America/New_York (assumed; NYC listing),370 7th Avenue,,Manhattan,SOSV,https://www.climateweeknyc.org/event-search/sosvs-hax-deep-tech-showcase?hsLang=en,https://luma.com/zp28xv7c,climateweeknyc.org/event-search (official),In-person,strong,2,energy / grid / power markets,,Not stated on official listing (unverified),unknown,Investors only per SOSV host page; public directory label does not override host eligibility. Registration availability not independently observed.,"Registration availability not observed; Public event (official page, 2026-09-10); investors only per host",2026-09-10 (this pass),4,Qualified,Registration status/price/eligibility not verified.,sosvs-hax-deep-tech-showcase,"06:00pm - 08:00pm, Wednesday, September 23, 2026 370 7th Avenue, Manhattan, New York, New York, 10001, United States Public event Register now ​Reshoring the Clean Future: Manufacturing, AI Infrastructure, Energy ​From the critical minerals pulled out of the ground to the on-demand manufacturing of chips, drones, batteries, and even apparel, a new industrial stack is being built in America — one mineral, one machine, one megawatt at a time. ​Join us at Climate Week NYC to meet the best of SOSV/H",,primary-page (official description parsed 2026-09-10),yes,7
ECO-fff-nycw,ecosystem-luma,Female Founders & Funders Gathering @ NY Climate Week,2026-09-21,13:30–16:00,America/New_York,Midtown South (obfuscated),,,Planeteer Capital; Elemental Impact; SE Ventures,,https://luma.com/fff-nycw,Luma public search (query: founders),founder/funder,medium,7,founder/funder,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,fff-nycw,"FFF returns to New York for Climate Week's most impactful networking event!
We're bringing together hundreds of venture investors and startup operators across energy, AI, mobility, resilience, food systems, deep tech, and infrastructure... all of whom happen to be women! 🙋‍♀️ 💸
Space is limited - please RSVP to request an invitation.
Hosted at our most epic rooftop venue yet, with a DJ spinning live beats 🪩 Plus, fan-favorite founder speed pitches.
Co-hosted by Planeteer Capital & Earthshot Ventures.
Thank you to our sponsors: SE Ventures, Breakthrough Energy, Elemental Impact, Justworks, East",network,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,8
ECO-69gbd51y,ecosystem-luma,Climate Solutions Showcase,2026-09-23,12:00–16:00,America/New_York,The Arts Center at Governors Island (Bldg 110),,,Governors Island,,https://luma.com/69gbd51y,Luma public search (query: climate tech),showcase,strong,6,showcase,,Not stated (unverified),Free (listed ticket),Registration available subject to listed capacity/status; eligibility not independently established.,Registration open (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,69gbd51y,"Extreme heat and chronic flooding have become a new normal in New York City. On Governors Island, novel adaptation solutions that New Yorkers will depend on aren’t only concepts; they're reality. From recycleable flood barriers to passive cooling technology, the Trust's Climate Piloting Program supports more than two dozen innovative solutions that are paving the way for more resilient and sustainable cities.
Join us on Wednesday, September 23, to see emerging tech in action, hear the founders pitch, and connect with the dynamic climate piloting ecosystem on Governors Island.
Event Details
12-",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),no,9
ECO-auyw9d6z,ecosystem-luma,Swiss Climatetech Showcase,2026-09-23,13:00–14:30,America/New_York,"Performance Space New York, 150 1st Ave",,,Swissnex in Boston and New York,,https://luma.com/auyw9d6z,Luma public search (query: climate tech),startup/showcase,strong,6,startup/showcase,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,auyw9d6z,"Meet the next generation of Swiss climatetech founders as the Climate Collider 2026 cohort comes to Climate Week NYC. Eight Swiss startups — spanning carbon removal, geothermal drilling, sustainable agriculture, clean hydrogen, industrial efficiency, circular construction materials, advanced membranes, biomaterials, and textile recycling — will pitch their solutions to investors, researchers, and industry leaders shaping the future of climate innovation.
Climate Collider is a startup camp powered by Innosuisse and managed by Swissnex, designed to strengthen transatlantic collaboration and conn",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,10
